id,question,gold_answers,baseline_answer,trust_gated_answer,baseline_f1,trust_gated_f1,baseline_steps,trust_gated_steps,trust_scores_by_step,stop_step
5705e33f52bb89140068964e,What is the name of the state that the megaregion expands to in the east?,"[""Nevada"", ""Nevada"", ""Nevada""]",Nevada,Nevada,1.0,1.0,2,2,"[0.870361, 0.412496]",2
56e1a564cd28a01900c67a49,"If input size is is equal to n, what can respectively be assumed is the function of n?","[""the time taken"", ""the time taken"", ""the time taken""]",Time complexity function of n,Time taken as a function of n,0.25,0.4,4,1,[0.949806],1
56de17f9cffd8e1900b4b5e1,Who was Margaret's husband?,"[""King Malcolm III of Scotland"", ""King Malcolm III"", ""King Malcolm III""]",King Malcolm III of Scotland,King Malcolm III of Scotland,1.0,1.0,4,4,"[0.886909, 0.207371, 0.172109, 0.208908]",4
570960cf200fba1400367f03,What did Microsoft announce that it would rename Sky Drive to?,"[""OneDrive"", ""OneDrive"", ""OneDrive""]",OneDrive,OneDrive,1.0,1.0,3,3,"[0.888178, 0.62837, 0.237478]",3
56de11154396321400ee25aa,What were the origins of the Raouliii family?,"[""Norman mercenary"", ""an Italo-Norman named Raoul"", ""descended from an Italo-Norman named Raoul""]",Italo-Norman,Italo-Norman,0.5714285714285715,0.5714285714285715,2,2,"[0.539234, 0.414114]",2
5706094b52bb8914006897df,Southern California is most famous for tourism and what notably named district?,"[""Hollywood"", ""Hollywood"", ""Hollywood""]",Hollywood,Hollywood,1.0,1.0,5,1,[0.940663],1
5705eccb52bb8914006896b9,Other than the desert city why do many locals and tourists frequent southern California?,"[""beaches"", ""for its popular beaches"", ""beaches""]",For its popular beaches,For its popular beaches,1.0,1.0,1,1,[0.960831],1
56de179dcffd8e1900b4b5dc,What culture did the Normans combine with in Ireland?,"[""Irish"", ""Irish"", ""Irish""]",Irish culture,Irish culture,0.6666666666666666,0.6666666666666666,5,5,"[0.848332, 0.528639, 0.676527, 0.204631, 0.328629]",5
570953a7efce8f15003a7dff,What channels were removed from the network in March of 2007?,"[""basic channels"", ""the basic channels"", ""the basic channels""]",Basic channels,Basic channels,1.0,1.0,3,1,[0.95238],1
56e1c7e2cd28a01900c67b75,What is responsible for constraining P according to the time hierarchy theorem?,"[""EXPTIME"", ""EXPTIME"", ""EXPTIME""]",Time hierarchy theorem,Time hierarchy theorem,0.0,0.0,2,1,[0.937609],1
56e1ddfce3433e14004231d5,"If P is ultimately proven to be equal tot NP, what effect would this have on the efficiency of problems?","[""more efficient solutions"", ""shown to have more efficient solutions"", ""many important problems can be shown to have more efficient solutions""]",More efficient solutions for many important problems,More efficient solutions for many important problems,0.6666666666666665,0.6666666666666665,5,5,"[0.867225, 0.497158, 0.393535, 0.352632, 0.144538]",5
56e200e4cd28a01900c67c14,What tactic did researchers employ to offset the former deficit of work surrounding the complexity of algorithmic problems?,"[""foundations were laid out"", ""numerous foundations were laid out"", ""numerous foundations were laid out by various researchers""]",Defined Turing machines,Defined Turing machines,0.0,0.0,2,2,"[0.906847, 0.319846]",2
56e190bce3433e1400422fcb,What will the output be for a member of the language of a decision problem?,"[""yes"", ""yes"", ""yes""]",Yes,Yes,1.0,1.0,5,1,[0.948803],1
56e1ba41cd28a01900c67ae1,"When extensive time is required to sort integers, this represents what case complexity?","[""worst-case"", ""worst"", ""worst-case""]",Worst-case complexity,Worst-case complexity,0.8,0.8,5,5,"[0.887994, 0.462427, 0.378398, 0.245455, 0.108135]",5
56e1c3e1e3433e1400423148,What are two examples of measurements are bound within algorithms to establish complexity classes?,"[""time or space"", ""time or space"", ""time or space""]",Time and space,Time and space,0.6666666666666666,0.6666666666666666,2,2,"[0.855258, 0.471961]",2
56e1dc62cd28a01900c67bcd,What is an example of a problem that rests within the NP complexity class?,"[""Boolean satisfiability problem"", ""Boolean satisfiability problem""]",Boolean satisfiability problem,Boolean satisfiability problem,1.0,1.0,4,1,[0.934584],1
